taxonomic lineage,TR2-64-1 (30331),WC-10-1 (22682),TR1-62-2 (47709),TR2-44-2 (44496),WC-30-2 (48512),TR1-52-2 (51427),TR1-42-2 (37339),TR2-24-2 (37425),WC-50-2 (50936),WC-40-2 (41928),WC-35-2 (44988),TR1-32-2 (68201),WC-20-2 (36081),TR2-34-2 (61197),Mel1-3 (48173),Mel1M-2 (46167),Mel2S-3 (41184),Mel3S-1 (59205),Ritt1-3 (33353),Ritt3-3 (32867),Ritt3M-3 (42448)
super kingdom.Bacteria;phylum.Actinobacteriota;class.Acidimicrobiia;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Thermoleophilia;order.Solirubrobacterales;family.Solirubrobacteraceae;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.KD4-96;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;NA;NA,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Sphingomonadales;family.Sphingomonadaceae;genus.Plot4-2H12;NA,0,0,0,0,34,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Acidimicrobiia;NA;NA;NA;NA,0,0,0,0,0,0,0,26,0,0,0,0,0,15,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.GAL15;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Thermoleophilia;order.Solirubrobacterales;family.Solirubrobacteraceae;genus.Conexibacter;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,27,0
super kingdom.Bacteria;phylum.Myxococcota;class.Polyangia;order.Polyangiales;family.Polyangiaceae;genus.Pajaroellobacter;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Acetobacterales;family.Acetobacteraceae;genus.Acidiphilium;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,34
super kingdom.Bacteria;phylum.Firmicutes;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Anaerolineae;NA;NA;NA;NA,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.WPS-2;NA;NA;NA;NA;NA,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera;NA,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.AD3;NA;NA;NA;NA,0,0,0,33,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.AD3;NA;NA;NA;NA,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Firmicutes;class.Bacilli;order.Paenibacillales;family.Paenibacillaceae;genus.Paenibacillus;NA,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.AD3;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,17,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Subgroup_2;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Chloroflexia;order.Thermomicrobiales;family.JG30-KF-CM45;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter;NA,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,32
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrocosmicus;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.JG36-TzT-191;NA;NA;NA,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Solibacterales;family.Solibacteraceae;genus.Candidatus_Solibacter;NA,0,0,0,0,20,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Holophagae;order.Subgroup_7;NA;NA;NA,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Actinobacteria;order.Corynebacteriales;family.Nocardiaceae;NA;NA,0,0,0,0,12,0,0,12,0,0,0,0,0,15,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Isosphaerales;family.Isosphaeraceae;NA;NA,0,0,0,0,8,0,0,0,0,18,13,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Isosphaerales;family.Isosphaeraceae;NA;NA,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Deinococcota;class.Deinococci;order.Thermales;family.Thermaceae;genus.Meiothermus;NA,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Pseudomonadales;family.Moraxellaceae;genus.Acinetobacter;NA,0,0,0,0,0,0,0,0,9,30,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,0,6,25,0,0,0,0,8,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Koribacteraceae;genus.Candidatus_Koribacter;NA,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Acidimicrobiia;order.IMCC26256;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17
super kingdom.Bacteria;phylum.Armatimonadota;class.Armatimonadia;order.Armatimonadales;NA;NA;NA,0,0,27,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera;NA,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Thermoleophilia;order.Gaiellales;NA;NA;NA,0,0,0,0,21,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;NA;NA;NA,0,0,0,0,9,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera;NA,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;NA;NA,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,3,10,0,0,0,0
super kingdom.Bacteria;phylum.Myxococcota;class.Polyangia;order.Polyangiales;family.Polyangiaceae;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,26,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Chloroflexia;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Acidimicrobiia;order.IMCC26256;NA;NA;NA,0,0,0,0,29,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Armatimonadota;class.Chthonomonadetes;order.Chthonomonadales;family.Chthonomonadaceae;genus.Chthonomonas;NA,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Koribacteraceae;genus.Candidatus_Koribacter;NA,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,10,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;NA;NA,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,15,0,10,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.GAL15;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,8,12,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.AD3;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;genus.Bradyrhizobium;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
super kingdom.Bacteria;phylum.Acidobacteriota;class.Blastocatellia;order.45597;NA;NA;NA,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;NA;NA,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Rhizobiaceae;genus.Mesorhizobium;NA,0,0,14,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Solibacterales;family.Solibacteraceae;genus.Candidatus_Solibacter;NA,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,22,0,0,0
super kingdom.Bacteria;phylum.Firmicutes;class.Bacilli;order.Alicyclobacillales;family.Alicyclobacillaceae;genus.Tumebacillus;NA,0,0,0,0,0,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Xanthomonadales;family.Rhodanobacteraceae;genus.Mizugakiibacter;NA,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;NA;NA;NA;NA,0,0,0,0,0,0,0,0,13,0,0,0,0,0,9,0,0,0,3,0,11
super kingdom.Bacteria;phylum.Myxococcota;class.Polyangia;order.Polyangiales;family.Polyangiaceae;genus.Pajaroellobacter;NA,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Xanthomonadales;family.Rhodanobacteraceae;genus.Mizugakiibacter;NA,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;genus.Rhodoplanes;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,19
super kingdom.Bacteria;phylum.Firmicutes;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Beijerinckiaceae;genus.Psychroglaciecola;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
super kingdom.Bacteria;phylum.Dependentiae;class.Babeliae;order.Babeliales;family.Vermiphilaceae;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,7
super kingdom.Bacteria;phylum.Deinococcota;class.Deinococci;order.Thermales;family.Thermaceae;genus.Meiothermus;NA,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Sphingomonadales;family.Sphingomonadaceae;genus.Novosphingobium;NA,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.1921-2;NA,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Firmicutes;NA;NA;NA;NA;NA,0,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Acidimicrobiia;NA;NA;NA;NA,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;genus.Pseudorhodoplanes;species.sinuspersici,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Sphingomonadales;family.Sphingomonadaceae;genus.Novosphingobium;species.bradum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24
super kingdom.Bacteria;phylum.Acidobacteriota;class.Holophagae;order.Subgroup_7;NA;NA;NA,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.AD3;NA;NA;NA;NA,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;NA;NA,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Methyloligellaceae;NA;NA,0,0,12,0,0,15,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Firmicutes;class.YNPFFP2;NA;NA;NA;NA,0,0,0,14,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Bdellovibrionota;class.Oligoflexia;order.0319-6G20;NA;NA;NA,0,0,0,0,15,0,0,0,0,0,13,0,6,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrocosmicus;NA,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Firmicutes;NA;NA;NA;NA;NA,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Caulobacterales;family.Caulobacteraceae;genus.PMMR1;NA,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);NA;NA,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Armatimonadota;class.Armatimonadia;order.Armatimonadales;NA;NA;NA,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Xanthomonadales;family.Rhodanobacteraceae;genus.Mizugakiibacter;NA,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Cyanobacteria;class.Cyanobacteriia;order.Cyanobacteriales;family.Nostocaceae;genus.Mastigocladopsis_PCC-10914;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;genus.Pseudolabrys;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
super kingdom.Bacteria;phylum.WPS-2;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Actinobacteria;order.Frankiales;family.Frankiaceae;genus.Jatrophihabitans;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.WPS-2;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.SHA-26;NA;NA;NA;NA,0,0,0,0,0,0,0,0,9,24,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.1921-2;NA,0,0,0,0,0,0,0,0,27,6,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Actinobacteria;order.Frankiales;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Chloroflexia;order.Thermomicrobiales;family.Thermomicrobiaceae;genus.Sphaerobacter;NA,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.1921-3;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter;NA,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,13,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Gammaproteobacteria_Incertae_Sedis;family.Unknown_Family;genus.Acidibacter;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Chloroflexia;order.Thermomicrobiales;family.Thermomicrobiaceae;genus.Sphaerobacter;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Firmicutes;NA;NA;NA;NA;NA,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Gammaproteobacteria_Incertae_Sedis;family.Unknown_Family;genus.Acidibacter;NA,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Myxococcota;class.Polyangia;order.Haliangiales;family.Haliangiaceae;genus.Haliangium;NA,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Armatimonadota;class.Chthonomonadetes;order.Chthonomonadales;family.Chthonomonadaceae;genus.Chthonomonas;NA,0,0,0,0,9,0,0,0,6,0,14,0,3,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Rhizobiaceae;genus.Aminobacter;NA,0,0,0,0,0,12,8,0,0,0,0,0,0,12,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Actinobacteria;order.Frankiales;family.Frankiaceae;genus.Frankia;NA,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Solibacterales;family.Solibacteraceae;genus.Candidatus_Solibacter;NA,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,15,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.FCPS473;NA,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Holophagae;order.Subgroup_7;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
super kingdom.Bacteria;phylum.Armatimonadota;class.Chthonomonadetes;order.Chthonomonadales;family.Chthonomonadaceae;genus.Chthonomonas;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,14
super kingdom.Bacteria;phylum.GAL15;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Beijerinckiaceae;genus.Methylocystis;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Chloroflexia;order.Thermomicrobiales;family.JG30-KF-CM45;NA;NA,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Verrucomicrobiota;class.Verrucomicrobiae;order.Chthoniobacterales;family.Chthoniobacteraceae;genus.Candidatus_Udaeobacter;NA,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Rhizobiales_Incertae_Sedis;genus.Alsobacter;NA,0,0,11,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Gammaproteobacteria_Incertae_Sedis;family.Unknown_Family;genus.Acidibacter;NA,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Gemmatimonadota;class.Gemmatimonadetes;order.Gemmatimonadales;family.Gemmatimonadaceae;NA;NA,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Anaerolineae;NA;NA;NA;NA,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.WPS-2;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Firmicutes;class.Bacilli;order.Lactobacillales;family.Carnobacteriaceae;genus.Atopostipes;NA,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Isosphaerales;family.Isosphaeraceae;NA;NA,0,0,0,0,0,0,0,0,0,0,7,0,24,0,0,0,0,0,0,0,0
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Isosphaerales;family.Isosphaeraceae;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Acidimicrobiia;NA;NA;NA;NA,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Xanthomonadales;family.Rhodanobacteraceae;genus.Mizugakiibacter;NA,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;NA;NA,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Blastocatellia;order.Blastocatellales;family.Blastocatellaceae;genus.Blastocatella;NA,0,0,0,0,0,5,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0
